ID,strain,plate,time,well,wavelength,od,fold,rate
PM2A_E12,13C1,PM2A,120,E12,450,0.606,1.0219224283305228,0.0005464559199094979
PM2A_F1,13C1,PM2A,120,F1,450,0.559,1.0939334637964775,0.015350524390249838
PM2A_F2,13C1,PM2A,120,F2,450,1.082,1.2143658810325477,0.005409486861959926
PM2A_F3,13C1,PM2A,120,F3,450,0.419,0.6107871720116618,-0.01419905972569722
PM2A_F4,13C1,PM2A,120,F4,450,0.428,1.1263157894736842,0.0013411119373292202
PM2A_F5,13C1,PM2A,120,F5,450,0.699,1.1515650741350905,0.000415187302476322
PM2A_F6,13C1,PM2A,120,F6,450,0.777,1.0557065217391304,0.0006385821032594488
PM2A_F7,13C1,PM2A,120,F7,450,0.199,0.961352657004831,0.00020885590931434139
PM2A_F8,13C1,PM2A,120,F8,450,0.544,1.0858283433133733,-0.0012438734645700484
PM2A_F9,13C1,PM2A,120,F9,450,0.651,1.190127970749543,0.01032182333959073
PM2A_F10,13C1,PM2A,120,F10,450,0.582,1.0639853747714807,0.013824900265998967
PM2A_F11,13C1,PM2A,120,F11,450,0.918,1.255813953488372,0.0011636989802087524
PM2A_F12,13C1,PM2A,120,F12,450,1.225,1.4514218009478674,-0.002704981087471489
PM2A_G1,13C1,PM2A,120,G1,450,0.896,1.0504103165298946,-0.024808537324458663
PM2A_G2,13C1,PM2A,120,G2,450,0.644,1.1278458844133101,-0.001987658248217133
PM2A_G3,13C1,PM2A,120,G3,450,0.564,1.0348623853211008,0.004743130943699941
PM2A_G4,13C1,PM2A,120,G4,450,0.611,1.0776014109347443,-0.00013661214423743112
PM2A_G5,13C1,PM2A,120,G5,450,0.586,1.0280701754385966,-0.002415074502278235
PM2A_G6,13C1,PM2A,120,G6,450,0.626,1.0503355704697988,-0.041358874976407854
PM2A_G7,13C1,PM2A,120,G7,450,0.635,1.083617747440273,-0.02183482731261655
PM2A_G8,13C1,PM2A,120,G8,450,0.656,1.1137521222410867,0.004624371372606763
PM2A_G9,13C1,PM2A,120,G9,450,0.659,0.9374110953058322,-0.004962986969610451
PM2A_G10,13C1,PM2A,120,G10,450,0.792,1.3244147157190636,-0.01611261798552673
PM2A_G11,13C1,PM2A,120,G11,450,0.552,1.0802348336594914,-0.00022706686531519596
PM2A_G12,13C1,PM2A,120,G12,450,0.548,1.0640776699029126,0.008869666708015839
PM2A_H1,13C1,PM2A,120,H1,450,0.645,1.0714285714285714,-0.0004546680604576104
PM2A_H2,13C1,PM2A,120,H2,450,0.435,1.1040609137055837,-0.000773417410835814
PM2A_H3,13C1,PM2A,120,H3,450,0.759,1.1145374449339207,-0.001794804160921274
PM2A_H4,13C1,PM2A,120,H4,450,0.744,1.1005917159763312,-0.0004504548376756507
PM2A_H5,13C1,PM2A,120,H5,450,0.759,1.0690140845070424,-0.024359566597889664
PM2A_H6,13C1,PM2A,120,H6,450,0.712,1.0804248861911987,-0.010680962594127548
PM2A_H7,13C1,PM2A,120,H7,450,0.99,1.1111111111111112,-0.03989723710034184
PM2A_H8,13C1,PM2A,120,H8,450,0.489,1.1088435374149659,0.01029116173438444
PM2A_H9,13C1,PM2A,120,H9,450,0.8,0.9142857142857144,-0.0001042970924216032
PM2A_H10,13C1,PM2A,120,H10,450,0.695,1.0659509202453987,-0.007608723666324869
PM2A_H11,13C1,PM2A,120,H11,450,0.656,1.0282131661442007,-0.0036485772670367283
PM2A_H12,13C1,PM2A,120,H12,450,0.445,0.6985871271585558,-0.018129741751262266
PM2A_A1,13C1,PM2A,120,A1,600,0.179,0.35305719921104534,-0.0009416596632183717
PM2A_A2,13C1,PM2A,120,A2,600,0.556,1.033457249070632,-0.02086189016242586
PM2A_A3,13C1,PM2A,120,A3,600,0.406,1.0518134715025906,0.002778807270778006
PM2A_A4,13C1,PM2A,120,A4,600,0.629,0.9249999999999999,-0.03226043057166337
PM2A_A5,13C1,PM2A,120,A5,600,0.426,1.0570719602977667,0.01991228941470746
PM2A_A6,13C1,PM2A,120,A6,600,0.68,1.1111111111111112,-0.01637677450456697
PM2A_A7,13C1,PM2A,120,A7,600,0.419,1.068877551020408,-0.0010064901616390015
PM2A_A8,13C1,PM2A,120,A8,600,0.241,0.5308370044052864,-0.001585815076014371
PM2A_A9,13C1,PM2A,120,A9,600,0.728,1.1097560975609755,0.0011849139716889011
PM2A_A10,13C1,PM2A,120,A10,600,0.459,1.0576036866359448,-0.003206710047338685
PM2A_A11,13C1,PM2A,120,A11,600,0.355,1.1234177215189873,0.007791891921099206
PM2A_A12,13C1,PM2A,120,A12,600,0.272,1.110204081632653,0.0036637530211125918
PM2A_B1,13C1,PM2A,120,B1,600,0.487,1.058695652173913,-0.021599300004252923
PM2A_B2,13C1,PM2A,120,B2,600,0.414,1.0952380952380951,-0.022717793770138463
PM2A_B3,13C1,PM2A,120,B3,600,0.564,1.0763358778625953,-0.014629915450452847
PM2A_B4,13C1,PM2A,120,B4,600,0.504,1.0885529157667386,0.0024871032843599137
PM2A_B5,13C1,PM2A,120,B5,600,0.468,1.0196078431372548,0.003252848890409114
PM2A_B6,13C1,PM2A,120,B6,600,0.52,1.0970464135021099,0.002261234580585734
PM2A_B7,13C1,PM2A,120,B7,600,0.436,1.0818858560794045,0.00019069445947549556
PM2A_B8,13C1,PM2A,120,B8,600,0.714,1.0142045454545454,-0.00041051235179214975
PM2A_B9,13C1,PM2A,120,B9,600,0.457,1.04337899543379,0.0008125934679767125
PM2A_B10,13C1,PM2A,120,B10,600,0.41,1.0485933503836316,0.017964529285119154
PM2A_B11,13C1,PM2A,120,B11,600,0.509,1.2506142506142508,-0.021475846464345884
PM2A_B12,13C1,PM2A,120,B12,600,0.52,1.2293144208037825,0.0168409264289698
PM2A_C1,13C1,PM2A,120,C1,600,0.479,1.0367965367965366,-0.010087977250875861
PM2A_C2,13C1,PM2A,120,C2,600,0.564,1.0581613508442775,-0.0027482486579915536
PM2A_C3,13C1,PM2A,120,C3,600,0.537,1.0654761904761905,-0.015633393769514062
PM2A_C4,13C1,PM2A,120,C4,600,0.51,0.9172661870503597,0.022871436453566193
PM2A_C5,13C1,PM2A,120,C5,600,0.524,1.087136929460581,0.001330316438559979
PM2A_C6,13C1,PM2A,120,C6,600,0.523,1.0695296523517384,0.00055398093671853
PM2A_C7,13C1,PM2A,120,C7,600,0.454,1.0861244019138756,0.000637535206470856
PM2A_C8,13C1,PM2A,120,C8,600,0.483,1.090293453724605,0.0014413101987341284
PM2A_C9,13C1,PM2A,120,C9,600,0.405,1.077127659574468,0.0008150219106038988
PM2A_C10,13C1,PM2A,120,C10,600,0.486,1.0824053452115812,-0.0008662820695447409
PM2A_C11,13C1,PM2A,120,C11,600,0.436,1.087281795511222,0.0005694849470276598
PM2A_C12,13C1,PM2A,120,C12,600,0.469,1.0151515151515151,-0.019176804755092456
PM2A_D1,13C1,PM2A,120,D1,600,0.521,1.0764462809917357,0.0024836649903736676
PM2A_D2,13C1,PM2A,120,D2,600,0.631,1.0,-0.048929429332394435
PM2A_D3,13C1,PM2A,120,D3,600,0.554,1.0633397312859885,-0.019373425290533732
PM2A_D4,13C1,PM2A,120,D4,600,0.601,1.0693950177935942,0.0009594722196379279
PM2A_D5,13C1,PM2A,120,D5,600,0.486,1.0799999999999998,0.01454302696304853
PM2A_D6,13C1,PM2A,120,D6,600,0.601,1.0452173913043479,0.0017646502540713783
PM2A_D7,13C1,PM2A,120,D7,600,0.412,1.0957446808510638,0.004319168397694932
PM2A_D8,13C1,PM2A,120,D8,600,0.502,1.0613107822410148,0.001707556015549736
PM2A_D9,13C1,PM2A,120,D9,600,0.897,1.3408071748878923,0.0011453900624082403
PM2A_D10,13C1,PM2A,120,D10,600,0.417,1.045112781954887,0.0008897135196070442
PM2A_D11,13C1,PM2A,120,D11,600,0.358,1.0686567164179104,0.0004629677260446187
PM2A_D12,13C1,PM2A,120,D12,600,1.081,1.1931567328918322,0.004559273318663438
PM2A_E1,13C1,PM2A,120,E1,600,0.927,1.0345982142857144,-0.0015103245996808765
PM2A_E2,13C1,PM2A,120,E2,600,0.61,1.0132890365448506,-0.045232616182407336
PM2A_E3,13C1,PM2A,120,E3,600,0.241,0.9877049180327869,-0.004563271908603748
PM2A_E4,13C1,PM2A,120,E4,600,0.601,1.2494802494802495,0.0028793246487144246
PM2A_E5,13C1,PM2A,120,E5,600,0.275,0.938566552901024,0.0003019336883653022
