ID,strain,plate,time,well,wavelength,od,fold,rate
PM1_F4,13A,PM1,144,F4,450,0.447,0.9933333333333333,9.310990839234845e-05
PM1_F5,13A,PM1,144,F5,450,0.342,1.0363636363636364,-0.0008616752182307811
PM1_F6,13A,PM1,144,F6,450,0.187,0.8820754716981132,-0.00044803299067757704
PM1_F7,13A,PM1,144,F7,450,0.963,0.8529672276350753,-0.001007230688919834
PM1_F8,13A,PM1,144,F8,450,0.292,0.584,0.0004258980863140837
PM1_F9,13A,PM1,144,F9,450,0.658,1.087603305785124,0.000378217422963195
PM1_F10,13A,PM1,144,F10,450,0.504,0.4193011647254576,0.006845960470469848
PM1_F11,13A,PM1,144,F11,450,0.962,1.0618101545253862,0.0004308897414471888
PM1_F12,13A,PM1,144,F12,450,0.597,1.008445945945946,-6.985193030218214e-05
PM1_G1,13A,PM1,144,G1,450,0.188,0.6573426573426574,-0.0013514698230480768
PM1_G2,13A,PM1,144,G2,450,0.202,0.8381742738589213,-0.005270172796213322
PM1_G3,13A,PM1,144,G3,450,0.347,1.0146198830409354,0.00023946426064866964
PM1_G4,13A,PM1,144,G4,450,0.419,0.9766899766899767,9.932463980317489e-05
PM1_G5,13A,PM1,144,G5,450,0.436,1.0556900726392253,-0.0005773764442260934
PM1_G6,13A,PM1,144,G6,450,0.198,0.4429530201342282,-0.0023816005766645267
PM1_G7,13A,PM1,144,G7,450,1.612,1.0826057756883816,7.747135792429971e-05
PM1_G8,13A,PM1,144,G8,450,0.628,0.9303703703703703,6.629542634341264e-05
PM1_G9,13A,PM1,144,G9,450,0.395,1.010230179028133,-0.00031766354627747376
PM1_G10,13A,PM1,144,G10,450,0.172,0.8514851485148514,0.0
PM1_G11,13A,PM1,144,G11,450,0.709,1.1112852664576802,0.0010446229583913262
PM1_G12,13A,PM1,144,G12,450,0.616,1.0980392156862744,0.001134310775444018
PM1_H1,13A,PM1,144,H1,450,0.668,1.095081967213115,0.0009252785847560133
PM1_H2,13A,PM1,144,H2,450,0.542,1.1083844580777098,-0.0003086433865775752
PM1_H3,13A,PM1,144,H3,450,0.578,1.0509090909090908,0.0
PM1_H4,13A,PM1,144,H4,450,0.442,0.9977426636568849,0.0002818500036892526
PM1_H5,13A,PM1,144,H5,450,0.439,1.0,-9.50209457802174e-05
PM1_H6,13A,PM1,144,H6,450,0.458,0.8790786948176583,-0.000182348941658287
PM1_H7,13A,PM1,144,H7,450,0.528,1.0292397660818713,0.00047081480224722775
PM1_H8,13A,PM1,144,H8,450,0.327,0.9316239316239318,0.00038052014846968633
PM1_H9,13A,PM1,144,H9,450,0.535,1.0348162475822051,0.00023299221940741393
PM1_H10,13A,PM1,144,H10,450,0.489,1.0208768267223383,0.0005081363789090919
PM1_H11,13A,PM1,144,H11,450,0.198,0.6534653465346535,-0.002829633567342105
PM1_H12,13A,PM1,144,H12,450,0.232,0.90625,0.0003576559871413098
PM1_A1,13A,PM1,144,A1,600,0.368,0.9411764705882353,0.00022583614455579638
PM1_A2,13A,PM1,144,A2,600,0.421,1.0369458128078817,0.0002958592312323487
PM1_A3,13A,PM1,144,A3,600,0.562,1.0583804143126176,0.0
PM1_A4,13A,PM1,144,A4,600,0.621,1.2857142857142858,0.0018375681154421336
PM1_A5,13A,PM1,144,A5,600,0.196,0.890909090909091,0.003660889824638927
PM1_A6,13A,PM1,144,A6,600,0.393,1.0796703296703298,0.0008396589765544963
PM1_A7,13A,PM1,144,A7,600,0.231,0.9829787234042554,0.00035919762682945646
PM1_A8,13A,PM1,144,A8,600,0.364,0.9972602739726028,0.00034199918407623256
PM1_A9,13A,PM1,144,A9,600,0.342,1.0208955223880598,0.00048450158312995803
PM1_A10,13A,PM1,144,A10,600,0.834,1.0761290322580643,-0.0019430923547651534
PM1_A11,13A,PM1,144,A11,600,0.653,1.1258620689655174,0.0011330003206354437
PM1_A12,13A,PM1,144,A12,600,0.661,1.0458860759493671,0.00037650858599739667
PM1_B1,13A,PM1,144,B1,600,0.323,1.009375,0.00025720246279504236
PM1_B2,13A,PM1,144,B2,600,0.35,1.0,0.0004734899437631251
PM1_B3,13A,PM1,144,B3,600,0.154,0.4583333333333333,0.0
PM1_B4,13A,PM1,144,B4,600,0.415,1.0949868073878628,0.00010028083460687747
PM1_B5,13A,PM1,144,B5,600,0.416,1.0271604938271603,-0.00020080360149787012
PM1_B6,13A,PM1,144,B6,600,0.527,1.0668016194331984,-0.020527041791539753
PM1_B7,13A,PM1,144,B7,600,0.316,0.8802228412256268,-0.0012039360833214585
PM1_B8,13A,PM1,144,B8,600,0.417,0.9976076555023924,0.00039777549514916294
PM1_B9,13A,PM1,144,B9,600,0.256,0.9343065693430657,-0.0044624223148486295
PM1_B10,13A,PM1,144,B10,600,0.449,0.9760869565217392,-0.007615295430321766
PM1_B11,13A,PM1,144,B11,600,0.32,0.6464646464646465,-0.023513096196540708
PM1_B12,13A,PM1,144,B12,600,0.172,0.48587570621468923,-0.002239344833612107
PM1_C1,13A,PM1,144,C1,600,0.416,1.1818181818181819,0.0005966689072811863
PM1_C2,13A,PM1,144,C2,600,0.15,0.8823529411764705,0.0005518844479175301
PM1_C3,13A,PM1,144,C3,600,0.632,1.210727969348659,0.00045896084294489337
PM1_C4,13A,PM1,144,C4,600,0.161,0.5532646048109966,-0.0010482733181731245
PM1_C5,13A,PM1,144,C5,600,0.508,0.5215605749486654,0.0008122414450417139
PM1_C6,13A,PM1,144,C6,600,0.51,1.1617312072892938,0.0008891381681248078
PM1_C7,13A,PM1,144,C7,600,0.712,1.1248025276461295,0.0006963950405725222
PM1_C8,13A,PM1,144,C8,600,1.265,1.1956521739130432,-3.295110228407341e-05
PM1_C9,13A,PM1,144,C9,600,0.209,0.37188612099644125,-0.006689612569696911
PM1_C10,13A,PM1,144,C10,600,0.279,0.4246575342465754,-0.00029976148475112857
PM1_C11,13A,PM1,144,C11,600,0.467,1.122596153846154,0.0006199193344241282
PM1_C12,13A,PM1,144,C12,600,0.447,1.0159090909090909,0.00018601221369523031
PM1_D1,13A,PM1,144,D1,600,0.409,1.017412935323383,0.00010175015231465871
PM1_D2,13A,PM1,144,D2,600,0.226,0.9224489795918368,0.00018395909204652888
PM1_D3,13A,PM1,144,D3,600,0.306,1.0303030303030303,0.00027144504254973635
PM1_D4,13A,PM1,144,D4,600,0.49,1.101123595505618,8.494736207701287e-05
PM1_D5,13A,PM1,144,D5,600,0.457,0.6780415430267062,0.0009019111156121968
PM1_D6,13A,PM1,144,D6,600,0.203,0.935483870967742,-0.0002057617350242736
PM1_D7,13A,PM1,144,D7,600,0.33,1.0344827586206897,0.00012607170485570376
PM1_D8,13A,PM1,144,D8,600,0.472,1.0582959641255605,0.0007870118550085775
PM1_D9,13A,PM1,144,D9,600,0.789,1.114406779661017,0.0006289427592702036
PM1_D10,13A,PM1,144,D10,600,0.176,0.24615384615384614,-0.0042324913674133425
PM1_D11,13A,PM1,144,D11,600,0.174,0.27401574803149603,-0.00349506183252925
PM1_D12,13A,PM1,144,D12,600,0.497,1.050739957716702,0.0001673362356204152
PM1_E1,13A,PM1,144,E1,600,0.344,0.9717514124293785,0.00036179677389420236
PM1_E2,13A,PM1,144,E2,600,0.509,1.328981723237598,0.0012101528237716459
PM1_E3,13A,PM1,144,E3,600,0.332,1.0152905198776758,0.0003748151211907501
PM1_E4,13A,PM1,144,E4,600,0.221,0.9866071428571428,-0.0005694849470276612
PM1_E5,13A,PM1,144,E5,600,0.5,0.45413260672116257,8.325011094471075e-05
PM1_E6,13A,PM1,144,E6,600,0.251,0.880701754385965,-0.0001663342195640604
PM1_E7,13A,PM1,144,E7,600,0.368,1.0082191780821919,0.00011307107798318025
PM1_E8,13A,PM1,144,E8,600,0.527,1.1711111111111112,0.0003934558666784203
PM1_E9,13A,PM1,144,E9,600,0.489,1.0294736842105263,0.0002548427923931689
PM1_E10,13A,PM1,144,E10,600,0.155,0.2654109589041096,-0.0005411331469504663
PM1_E11,13A,PM1,144,E11,600,0.395,1.0076530612244898,-0.00031766354627747376
PM1_E12,13A,PM1,144,E12,600,0.296,0.9768976897689768,-0.00014100408267669036
PM1_F1,13A,PM1,144,F1,600,0.257,0.8263665594855306,-0.004988768997532461
PM1_F2,13A,PM1,144,F2,600,0.415,1.1527777777777777,0.00020032089867096157
PM1_F3,13A,PM1,144,F3,600,0.525,1.0692464358452138,-0.001618326388177667
PM1_F4,13A,PM1,144,F4,600,0.337,1.0,0.00012345688044404369
PM1_F5,13A,PM1,144,F5,600,0.27,1.0384615384615385,-0.0009363689938357762
PM1_F6,13A,PM1,144,F6,600,0.156,0.9017341040462429,-0.0008090869107125678
PM1_F7,13A,PM1,144,F7,600,0.789,0.9776951672862453,-0.0004780167150932003
PM1_F8,13A,PM1,144,F8,600,0.257,0.6763157894736842,0.0001618125010999005
PM1_F9,13A,PM1,144,F9,600,0.511,1.106060606060606,0.0005669021689907783
PM1_F10,13A,PM1,144,F10,600,0.387,0.36067101584342964,0.0074709317106855105
PM1_F11,13A,PM1,144,F11,600,0.7,1.0785824345146378,0.0004734899437631251
