Plate	Well	Column	Row	Biolog_name	BiGG
PM2	C10	C	10	alpha-Methyl-D-Mannoside	
PM2	C11	C	11	beta-Methyl-D-Xyloside	
PM2	C12	C	12	Palatinose	pala
PM2	D1	D	1	D-Raffinose	raffin
PM2	D2	D	2	Salicin	rbl__B
PM2	D3	D	3	Sedoheptulosan	
PM2	D4	D	4	L-Sorbose	srb__L
PM2	D5	D	5	Stachyose	stys
PM2	D6	D	6	D-Tagatose	tag__D
PM2	D7	D	7	Turanose	
PM2	D8	D	8	Xylitol	xylt
PM2	D9	D	9	N-Acetyl-D-Glucosaminitol	
PM2	D10	D	10	gamma-Amino Butyric Acid	
PM2	D11	D	11	delta-Amino Valeric Acid	
PM2	D12	D	12	Butyric Acid	but
PM2	E1	E	1	Capric Acid	decacid
PM2	E2	E	2	Caproic Acid	caproic
PM2	E3	E	3	Citraconic Acid	citac
PM2	E4	E	4	Citramalic Acid	citm
PM2	E5	E	5	D-Glucosamine	gam
PM2	E6	E	6	2-Hydroxy Benzoic Acid	salc
PM2	E7	E	7	4-Hydroxy Benzoic Acid	4hbz
PM2	E8	E	8	beta-Hydroxy Butyric Acid	
PM2	E9	E	9	gamma-Hydroxy Butyric Acid	ghb
PM2	E10	E	10	a-Keto-Valeric Acid	
PM2	E11	E	11	Itaconic Acid	
PM2	E12	E	12	5-Keto-D-Gluconic Acid	
PM2	F1	F	1	D-Lactic Acid Methyl Ester	
PM2	F2	F	2	Malonic Acid	malon
PM2	F3	F	3	Melibionic Acid	
PM2	F4	F	4	Oxalic Acid	oxa
PM2	F5	F	5	Oxalomalic Acid	
PM2	F6	F	6	Quinic Acid	quin
PM2	F7	F	7	"D-Ribono-1,4-Lactone"	
PM2	F8	F	8	Sebacic Acid	sebacid
PM2	F9	F	9	Sorbic Acid	
PM2	F10	F	10	Succinamic Acid	
PM2	F11	F	11	D-Tartaric Acid	tartr__M
PM2	F12	F	12	L-Tartaric Acid	tartr__L
PM2	G1	G	1	Acetamide	ad
PM2	G2	G	2	L-Alaninamide	balamd
PM2	G3	G	3	N-Acetyl-L-Glutamic Acid	acglu
PM2	G4	G	4	L-Arginine	arg__L
PM2	G5	G	5	Glycine	gly
PM2	G6	G	6	L-Histidine	his__L
PM2	G7	G	7	L-Homoserine	hom__L
PM2	G8	G	8	Hydroxy-L-Proline	
PM2	G9	G	9	L-Isoleucine	ile__L
PM2	G10	G	10	L-Leucine	leu__L
PM2	G11	G	11	L-Lysine	lys__L
PM2	G12	G	12	L-Methionine	met__L
PM2	H1	H	1	L-Ornithine	orn
PM2	H2	H	2	L-Phenylalanine	phe__L
PM2	H3	H	3	L-Pyroglutamic Acid	5oxopro
PM2	H4	H	4	L-Valine	val__L
PM2	H5	H	5	"D,L-Carnitine"	crn
PM2	H6	H	6	Sec-Butylamine	
PM2	H7	H	7	D.L-Octopamine	
PM2	H8	H	8	Putrescine	ptrc
PM2	H9	H	9	Dihydroxy Acetone	dha
PM2	H10	H	10	"2,3-Butanediol"	23btdl
PM2	H11	H	11	"2,3-Butanone"	
PM2	H12	H	12	3-Hydroxy 2-Butanone	R_actn
